Solving multi-robot motion planning problem...
Solving frequency = 20.3364 Hz
Solving frequency = 21.226 Hz
Solving frequency = 20.3633 Hz
Solving frequency = 20.2437 Hz
Solving frequency = 19.9808 Hz
Solving frequency = 23.1102 Hz
Solving frequency = 26.3338 Hz
Solving frequency = 26.8111 Hz
Solving frequency = 22.8097 Hz
Solving frequency = 23.4241 Hz
Solving frequency = 24.6621 Hz
Solving frequency = 28.7745 Hz
Solving frequency = 26.3116 Hz
Solving frequency = 26.2027 Hz
Solving frequency = 22.8864 Hz
Solving frequency = 27.4003 Hz
Solving frequency = 27.1481 Hz
Solving frequency = 26.5548 Hz
Solving frequency = 22.9384 Hz
Solving frequency = 25.74 Hz
Solving frequency = 26.9498 Hz
Solving frequency = 27.9971 Hz
Solving frequency = 26.2068 Hz
Solving frequency = 25.0809 Hz
Solving frequency = 25.9956 Hz
Solving frequency = 26.6418 Hz
Solving frequency = 30.0363 Hz
Solving frequency = 27.9658 Hz
Solving frequency = 24.4912 Hz
Solving frequency = 25.7129 Hz
Solving frequency = 26.189 Hz
Solving frequency = 30.135 Hz
Solving frequency = 27.2985 Hz
Solving frequency = 27.6625 Hz
Solving frequency = 26.8969 Hz
Solving frequency = 28.0379 Hz
Solving frequency = 28.6139 Hz
Solving frequency = 27.248 Hz
Solving frequency = 27.4975 Hz
Solving frequency = 26.2757 Hz
Solving frequency = 28.0026 Hz
Solving frequency = 25.2979 Hz
Solving frequency = 26.718 Hz
Solving frequency = 27.5581 Hz
Solving frequency = 23.6155 Hz
Solving frequency = 23.908 Hz
Solving frequency = 22.3224 Hz
Solving frequency = 21.2067 Hz
Solving frequency = 22.3474 Hz
Solving frequency = 21.7652 Hz
Solving frequency = 25.5885 Hz
Solving frequency = 24.8164 Hz
Solving frequency = 24.0004 Hz
Solving frequency = 22.4427 Hz
Solving frequency = 24.7574 Hz
Solving frequency = 25.6667 Hz
Solving frequency = 25.1496 Hz
Solving frequency = 22.5902 Hz
Solving frequency = 22.205 Hz
Solving frequency = 24.2583 Hz
Solving frequency = 23.0654 Hz
Solving frequency = 25.2538 Hz
Solving frequency = 25.0332 Hz
Solving frequency = 24.825 Hz
Solving frequency = 25.1693 Hz
Solving frequency = 23.6429 Hz
Solving frequency = 22.4921 Hz
Solving frequency = 22.8749 Hz
Solving frequency = 22.4391 Hz
Solving frequency = 20.7508 Hz
Solving frequency = 24.1319 Hz
Solving frequency = 22.3369 Hz
Solving frequency = 24.6051 Hz
Solving frequency = 21.5629 Hz
Solving frequency = 26.1849 Hz
Solving frequency = 21.8055 Hz
Solving frequency = 23.1803 Hz
Solving frequency = 25.0557 Hz
Solving frequency = 24.6664 Hz
Solving frequency = 24.3078 Hz
Solving frequency = 21.8193 Hz
Solving frequency = 24.2872 Hz
Solving frequency = 21.0562 Hz
Solving frequency = 25.6535 Hz
Solving frequency = 23.423 Hz
Solving frequency = 24.3849 Hz
Solving frequency = 24.4099 Hz
Solving frequency = 22.3929 Hz
Solving frequency = 27.1047 Hz
Solving frequency = 24.2642 Hz
Solving frequency = 23.9705 Hz
Solving frequency = 24.6853 Hz
Solving frequency = 25.257 Hz
Solving frequency = 27.6358 Hz
Solving frequency = 25.2258 Hz
Solving frequency = 23.7361 Hz
Solving frequency = 27.8064 Hz
Solving frequency = 26.0058 Hz
Solving frequency = 30.1541 Hz
Solving frequency = 27.0314 Hz
Solving frequency = 29.1189 Hz
Solving frequency = 31.9407 Hz
Solving frequency = 34.5042 Hz
Solving frequency = 32.0256 Hz
Solving frequency = 34.4187 Hz
Solving frequency = 30.373 Hz
Solving frequency = 31.2471 Hz
Solving frequency = 30.9301 Hz
Solving frequency = 33.2436 Hz
Solving frequency = 29.6639 Hz
Solving frequency = 30.9722 Hz
Solving frequency = 33.4381 Hz
Solving frequency = 33.8112 Hz
Solving frequency = 35.7054 Hz
Solving frequency = 30.0634 Hz
Solving frequency = 36.7175 Hz
Solving frequency = 38.0967 Hz
Solving frequency = 33.1598 Hz
Solving frequency = 37.7302 Hz
Solving frequency = 34.2501 Hz
Solving frequency = 34.6153 Hz
Solving frequency = 35.8912 Hz
Solving frequency = 39.7772 Hz
Solving frequency = 39.0533 Hz
Solving frequency = 34.8262 Hz
Solving frequency = 37.47 Hz
Solving frequency = 33.2602 Hz
Solving frequency = 34.4887 Hz
Solving frequency = 41.3942 Hz
Solving frequency = 37.3818 Hz
Solving frequency = 37.0165 Hz
Solving frequency = 42.8982 Hz
Solving frequency = 43.6053 Hz
Solving frequency = 46.8209 Hz
Solving frequency = 40.4776 Hz
Solving frequency = 47.7646 Hz
Solving frequency = 44.601 Hz
Solving frequency = 48.7948 Hz
Solving frequency = 49.3608 Hz
Solving frequency = 46.9263 Hz
Solving frequency = 48.4543 Hz
Solving frequency = 47.9777 Hz
Solving frequency = 38.6056 Hz
Solving frequency = 37.5657 Hz
Solving frequency = 49.4438 Hz
Solving frequency = 53.1011 Hz
Solving frequency = 55.8378 Hz
Solving frequency = 55.5864 Hz
Solving frequency = 55.5648 Hz
Solving frequency = 51.0543 Hz
Solving frequency = 50.5996 Hz
Solving frequency = 48.1904 Hz
Solving frequency = 48.2462 Hz
