Solving multi-robot motion planning problem...
Solving frequency = 11.7338 Hz
Solving frequency = 18.9717 Hz
Solving frequency = 18.3911 Hz
Solving frequency = 13.2293 Hz
Solving frequency = 15.6507 Hz
Solving frequency = 12.1089 Hz
Solving frequency = 12.7525 Hz
Solving frequency = 16.491 Hz
Solving frequency = 12.4883 Hz
Solving frequency = 13.8106 Hz
Solving frequency = 14.3256 Hz
Solving frequency = 13.845 Hz
Solving frequency = 13.5263 Hz
Solving frequency = 16.629 Hz
Solving frequency = 15.6199 Hz
Solving frequency = 15.822 Hz
Solving frequency = 13.3905 Hz
Solving frequency = 16.5445 Hz
Solving frequency = 11.2081 Hz
Solving frequency = 15.1609 Hz
Solving frequency = 15.5222 Hz
Solving frequency = 18.786 Hz
Solving frequency = 18.957 Hz
Solving frequency = 14.6289 Hz
Solving frequency = 15.5536 Hz
Solving frequency = 19.54 Hz
Solving frequency = 20.555 Hz
Solving frequency = 18.6386 Hz
Solving frequency = 15.3278 Hz
Solving frequency = 18.98 Hz
Solving frequency = 21.2382 Hz
Solving frequency = 20.8629 Hz
Solving frequency = 17.7519 Hz
Solving frequency = 12.2736 Hz
Solving frequency = 17.7418 Hz
Solving frequency = 18.406 Hz
Solving frequency = 18.9581 Hz
Solving frequency = 17.4228 Hz
Solving frequency = 17.2028 Hz
Solving frequency = 16.5292 Hz
Solving frequency = 20.1329 Hz
Solving frequency = 16.7974 Hz
Solving frequency = 13.3763 Hz
Solving frequency = 19.2201 Hz
Solving frequency = 17.0552 Hz
Solving frequency = 21.2906 Hz
Solving frequency = 18.0287 Hz
Solving frequency = 17.0785 Hz
Solving frequency = 13.9175 Hz
Solving frequency = 18.0229 Hz
Solving frequency = 16.8231 Hz
Solving frequency = 17.5895 Hz
Solving frequency = 20.7383 Hz
Solving frequency = 17.2789 Hz
Solving frequency = 14.1941 Hz
Solving frequency = 18.6112 Hz
Solving frequency = 14.4431 Hz
Solving frequency = 12.2041 Hz
Solving frequency = 10.8742 Hz
Solving frequency = 20.5499 Hz
Solving frequency = 22.4326 Hz
Solving frequency = 12.0931 Hz
Solving frequency = 20.4838 Hz
Solving frequency = 19.7192 Hz
Solving frequency = 17.3445 Hz
Solving frequency = 17.6785 Hz
Solving frequency = 9.91198 Hz
Solving frequency = 18.8111 Hz
Solving frequency = 17.6211 Hz
Solving frequency = 17.228 Hz
Solving frequency = 14.5264 Hz
Solving frequency = 13.7675 Hz
Solving frequency = 21.6235 Hz
Solving frequency = 19.8008 Hz
Solving frequency = 17.2724 Hz
Solving frequency = 18.6432 Hz
Solving frequency = 21.1569 Hz
Solving frequency = 18.6508 Hz
Solving frequency = 16.697 Hz
Solving frequency = 17.5874 Hz
Solving frequency = 18.6494 Hz
Solving frequency = 16.086 Hz
Solving frequency = 15.3142 Hz
Solving frequency = 18.0662 Hz
Solving frequency = 14.5616 Hz
Solving frequency = 20.1922 Hz
Solving frequency = 16.6279 Hz
Solving frequency = 20.5982 Hz
Solving frequency = 20.5736 Hz
Solving frequency = 16.6528 Hz
Solving frequency = 19.7941 Hz
Solving frequency = 18.7336 Hz
Solving frequency = 15.298 Hz
Solving frequency = 19.6529 Hz
Solving frequency = 23.1219 Hz
Solving frequency = 14.3447 Hz
Solving frequency = 18.1462 Hz
Solving frequency = 23.4869 Hz
Solving frequency = 22.5616 Hz
Solving frequency = 21.2535 Hz
ERROR:  Maximum number of working set recalculations performed
QP failed
Solving frequency = 14.7195 Hz
Solving frequency = 20.2864 Hz
Solving frequency = 23.1321 Hz
Solving frequency = 27.3868 Hz
Solving frequency = 20.3021 Hz
Solving frequency = 22.058 Hz
Solving frequency = 19.0567 Hz
Solving frequency = 21.691 Hz
Solving frequency = 12.6317 Hz
Solving frequency = 23.3995 Hz
Solving frequency = 20.5643 Hz
Solving frequency = 21.6272 Hz
Solving frequency = 19.3708 Hz
Solving frequency = 20.0509 Hz
Solving frequency = 22.8331 Hz
Solving frequency = 17.7469 Hz
Solving frequency = 18.6279 Hz
Solving frequency = 20.622 Hz
Solving frequency = 16.4271 Hz
Solving frequency = 23.232 Hz
Solving frequency = 17.2876 Hz
Solving frequency = 15.9541 Hz
Solving frequency = 19.5929 Hz
Solving frequency = 19.9976 Hz
ERROR:  Maximum number of working set recalculations performed
QP failed
Solving frequency = 14.9196 Hz
Solving frequency = 19.8362 Hz
Solving frequency = 17.6616 Hz
Solving frequency = 21.3982 Hz
Solving frequency = 22.2534 Hz
Solving frequency = 9.65559 Hz
Solving frequency = 22.5968 Hz
Solving frequency = 12.0814 Hz
Solving frequency = 21.3065 Hz
Solving frequency = 27.3486 Hz
Solving frequency = 15.0968 Hz
Solving frequency = 23.2202 Hz
Solving frequency = 15.9721 Hz
Solving frequency = 23.5671 Hz
Solving frequency = 22.843 Hz
Solving frequency = 24.8868 Hz
Solving frequency = 22.205 Hz
Solving frequency = 23.5666 Hz
Solving frequency = 21.1959 Hz
Solving frequency = 21.7056 Hz
Solving frequency = 24.7445 Hz
Solving frequency = 20.5212 Hz
Solving frequency = 20.7048 Hz
Solving frequency = 33.972 Hz
Solving frequency = 26.6574 Hz
Solving frequency = 32.2706 Hz
Solving frequency = 25.6115 Hz
Solving frequency = 34.33 Hz
Solving frequency = 28.5095 Hz
Solving frequency = 26.4438 Hz
Solving frequency = 29.5421 Hz
Solving frequency = 25.2404 Hz
Solving frequency = 21.7562 Hz
Solving frequency = 32.6126 Hz
Solving frequency = 34.3619 Hz
Solving frequency = 18.4227 Hz
Solving frequency = 32.396 Hz
Solving frequency = 27.1061 Hz
Solving frequency = 19.9056 Hz
Solving frequency = 31.7329 Hz
Solving frequency = 28.5519 Hz
Solving frequency = 27.0088 Hz
Solving frequency = 35.8835 Hz
Solving frequency = 28.5641 Hz
Solving frequency = 39.7867 Hz
Solving frequency = 35.3407 Hz
Solving frequency = 41.1353 Hz
Solving frequency = 31.0222 Hz
Solving frequency = 40.9819 Hz
Solving frequency = 29.7265 Hz
Solving frequency = 39.9553 Hz
Solving frequency = 43.8693 Hz
Solving frequency = 42.2708 Hz
Solving frequency = 34.3277 Hz
Solving frequency = 50.2538 Hz
Solving frequency = 44.4563 Hz
Solving frequency = 32.5542 Hz
Solving frequency = 39.1558 Hz
Solving frequency = 34.4851 Hz
Solving frequency = 44.8612 Hz
Solving frequency = 42.6585 Hz
Solving frequency = 48.6689 Hz
Solving frequency = 42.8964 Hz
Solving frequency = 48.391 Hz
Solving frequency = 35.8719 Hz
Solving frequency = 44.0917 Hz
Solving frequency = 45.6225 Hz
Solving frequency = 47.4473 Hz
Solving frequency = 46.9947 Hz
Solving frequency = 47.7304 Hz
Solving frequency = 48.3676 Hz
Solving frequency = 31.9142 Hz
Solving frequency = 23.3935 Hz
Solving frequency = 28.8384 Hz
Solving frequency = 50.6278 Hz
Solving frequency = 40.9937 Hz
Solving frequency = 50.7202 Hz
Solving frequency = 53.6884 Hz
Solving frequency = 46.2406 Hz
Solving frequency = 49.0653 Hz
Solving frequency = 51.6049 Hz
Solving frequency = 49.2635 Hz
Solving frequency = 37.2426 Hz
Solving frequency = 48.8854 Hz
Solving frequency = 49.6106 Hz
Solving frequency = 47.4789 Hz
Solving frequency = 53.087 Hz
Solving frequency = 52.3095 Hz
Solving frequency = 32.8202 Hz
Solving frequency = 53.251 Hz
Solving frequency = 48.3489 Hz
Solving frequency = 48.8759 Hz
Solving frequency = 47.9386 Hz
Solving frequency = 33.5593 Hz
Solving frequency = 53.5934 Hz
Solving frequency = 52.9437 Hz
Solving frequency = 51.8807 Hz
Solving frequency = 53.2113 Hz
Solving frequency = 52.5624 Hz
Solving frequency = 54.339 Hz
Solving frequency = 56.0193 Hz
Solving frequency = 51.7036 Hz
Solving frequency = 51.261 Hz
Solving frequency = 54.1008 Hz
Solving frequency = 35.4925 Hz
Solving frequency = 58.3873 Hz
Solving frequency = 34.4531 Hz
Solving frequency = 56.1104 Hz
Solving frequency = 59.4884 Hz
Solving frequency = 53.4931 Hz
Solving frequency = 52.6343 Hz
Solving frequency = 43.0923 Hz
Solving frequency = 59.1646 Hz
Solving frequency = 57.5142 Hz
Solving frequency = 61.9157 Hz
Solving frequency = 54.404 Hz
Solving frequency = 58.5754 Hz
Solving frequency = 54.8216 Hz
Solving frequency = 57.2705 Hz
Solving frequency = 52.9521 Hz
Solving frequency = 58.1734 Hz
Solving frequency = 60.423 Hz
Solving frequency = 59.9988 Hz
Solving frequency = 53.8097 Hz
Solving frequency = 45.3165 Hz
Solving frequency = 51.2794 Hz
Solving frequency = 50.4032 Hz
Solving frequency = 40.3096 Hz
Solving frequency = 38.0546 Hz
Solving frequency = 51.2636 Hz
Solving frequency = 59.3014 Hz
Solving frequency = 59.2979 Hz
Solving frequency = 57.3394 Hz
Solving frequency = 56.9087 Hz
Solving frequency = 58.9588 Hz
Solving frequency = 47.9249 Hz
Solving frequency = 46.1212 Hz
Solving frequency = 56.7344 Hz
Solving frequency = 55.8378 Hz
Solving frequency = 56.654 Hz
Solving frequency = 60.4339 Hz
Solving frequency = 46.3843 Hz
Solving frequency = 35.4384 Hz
Solving frequency = 56.5515 Hz
Solving frequency = 33.5649 Hz
Solving frequency = 54.5345 Hz
Solving frequency = 61.192 Hz
Solving frequency = 40.0256 Hz
Solving frequency = 56.3444 Hz
Solving frequency = 58.2954 Hz
Solving frequency = 58.2445 Hz
Solving frequency = 56.9703 Hz
Solving frequency = 55.1146 Hz
Solving frequency = 52.9409 Hz
Solving frequency = 55.8191 Hz
Solving frequency = 52.3314 Hz
Solving frequency = 55.6235 Hz
Solving frequency = 58.7475 Hz
Solving frequency = 47.7852 Hz
Solving frequency = 55.8347 Hz
Solving frequency = 56.6219 Hz
Solving frequency = 26.6724 Hz
Solving frequency = 25.7221 Hz
Solving frequency = 59.0842 Hz
Solving frequency = 57.9039 Hz
Solving frequency = 57.1102 Hz
Solving frequency = 45.7917 Hz
Solving frequency = 55.9816 Hz
Solving frequency = 55.06 Hz
Solving frequency = 55.5463 Hz
Solving frequency = 60.5987 Hz
Solving frequency = 58.8859 Hz
Solving frequency = 58.2785 Hz
Solving frequency = 56.6669 Hz
Solving frequency = 59.1506 Hz
Solving frequency = 57.9811 Hz
Solving frequency = 56.7215 Hz
Solving frequency = 56.9866 Hz
Solving frequency = 59.8158 Hz
Solving frequency = 56.2715 Hz
Solving frequency = 57.2312 Hz
Solving frequency = 56.6444 Hz
Solving frequency = 59.9018 Hz
Solving frequency = 56.8505 Hz
Solving frequency = 56.1262 Hz
Solving frequency = 57.8102 Hz
Solving frequency = 56.1293 Hz
Solving frequency = 58.2988 Hz
Solving frequency = 50.6175 Hz
Solving frequency = 57.6236 Hz
Solving frequency = 55.3649 Hz
Solving frequency = 56.5291 Hz
Solving frequency = 38.844 Hz
Solving frequency = 59.1191 Hz
Solving frequency = 58.7406 Hz
Solving frequency = 58.9414 Hz
Solving frequency = 42.0027 Hz
Solving frequency = 58.5172 Hz
Solving frequency = 60.4924 Hz
Solving frequency = 57.8369 Hz
Solving frequency = 57.1396 Hz
Solving frequency = 52.5541 Hz
Solving frequency = 55.2486 Hz
Solving frequency = 59.1121 Hz
Solving frequency = 52.6205 Hz
Solving frequency = 35.121 Hz
Solving frequency = 54.4099 Hz
Solving frequency = 54.9904 Hz
Solving frequency = 48.852 Hz
Solving frequency = 57.5838 Hz
Solving frequency = 58.9866 Hz
Solving frequency = 58.9449 Hz
Solving frequency = 41.2831 Hz
Solving frequency = 58.8132 Hz
Solving frequency = 54.8667 Hz
Solving frequency = 58.6786 Hz
Solving frequency = 52.7704 Hz
Solving frequency = 50.4185 Hz
Solving frequency = 56.6669 Hz
Solving frequency = 57.4812 Hz
Solving frequency = 53.7721 Hz
Solving frequency = 57.0776 Hz
Solving frequency = 52.9017 Hz
Solving frequency = 55.6297 Hz
Solving frequency = 60.4193 Hz
Solving frequency = 55.8129 Hz
Solving frequency = 58.5172 Hz
Solving frequency = 59.3507 Hz
Solving frequency = 56.744 Hz
Solving frequency = 45.4339 Hz
Solving frequency = 58.0383 Hz
Solving frequency = 56.9314 Hz
Solving frequency = 59.2277 Hz
Solving frequency = 52.04 Hz
Solving frequency = 43.4197 Hz
Solving frequency = 49.4096 Hz
Solving frequency = 52.2193 Hz
Solving frequency = 47.1409 Hz
Solving frequency = 48.1209 Hz
Solving frequency = 56.0224 Hz
Solving frequency = 53.6913 Hz
Solving frequency = 58.9936 Hz
Solving frequency = 39.8851 Hz
Solving frequency = 34.3997 Hz
Solving frequency = 59.0388 Hz
